,activation,num_layers,neurons_per_layer,n_iter_,best_loss_,rmse,misclassification_rate,elapsed_time
140,relu,2,9,189,0.4041554733676592,0.43204937989385733,0.18666666666666665,0.6855716705322266
120,relu,2,5,328,0.40364885516662113,0.43264244726966766,0.18717948717948718,1.086761474609375
64,identity,10,3,66,0.41444435406175223,0.43323470277934534,0.1876923076923077,0.5478255748748779
88,identity,8,8,90,0.4238889709889957,0.43500663124919053,0.1892307692307692,0.6561460494995117
92,identity,6,9,74,0.4204566985200243,0.43500663124919053,0.1892307692307692,0.4672837257385254
87,identity,6,8,93,0.4218928433331766,0.43559567231962915,0.18974358974358974,0.5531308650970459
43,tanh,8,9,99,0.39979413936188674,0.43618391792500816,0.19025641025641027,0.9915115833282471
78,identity,8,6,79,0.41654862904672235,0.43618391792500816,0.19025641025641027,0.5971992015838623
91,identity,4,9,96,0.4252140398826525,0.4367713712793351,0.1907692307692308,0.453615665435791
34,tanh,10,7,199,0.4062018776002307,0.43794391398313987,0.19179487179487176,2.171562433242798
86,identity,4,8,142,0.4197294736917996,0.4385290096535146,0.1923076923076923,0.6442081928253174
90,identity,2,9,226,0.42030663437659965,0.4385290096535146,0.1923076923076923,0.7057578563690186
75,identity,2,6,255,0.4212158969559044,0.43911332571502865,0.19282051282051282,0.7700619697570801
73,identity,8,5,89,0.4196987478356947,0.43969686527576396,0.19333333333333336,0.6291663646697998
81,identity,4,7,107,0.4201627227342253,0.4402796314232057,0.1938461538461539,0.4852578639984131
93,identity,8,9,76,0.419942174507657,0.4402796314232057,0.1938461538461539,0.5941686630249023
128,relu,8,6,188,0.39979330621370124,0.4408616272244324,0.1943589743589743,1.6094892024993896
82,identity,6,7,87,0.423326967507969,0.44202331995565053,0.19538461538461538,0.5384457111358643
134,relu,10,7,212,0.41134934385237654,0.4431819676050193,0.19641025641025645,2.3617238998413086
144,relu,10,9,124,0.4126394673590989,0.4437601569801833,0.19692307692307698,1.4333908557891846
0,tanh,2,1,62,0.4951572399403195,0.44433759399346057,0.1974358974358974,0.19083356857299805
1,tanh,4,1,27,0.49493069357320696,0.44433759399346057,0.1974358974358974,0.11547517776489258
2,tanh,6,1,18,0.4949642782208574,0.44433759399346057,0.1974358974358974,0.10512852668762207
3,tanh,8,1,47,0.4951123305834629,0.44433759399346057,0.1974358974358974,0.33525609970092773
4,tanh,10,1,61,0.49516656943101395,0.44433759399346057,0.1974358974358974,0.5060913562774658
6,tanh,4,2,67,0.49510741296477156,0.44433759399346057,0.1974358974358974,0.28989744186401367
7,tanh,6,2,55,0.4951540305801376,0.44433759399346057,0.1974358974358974,0.335521936416626
8,tanh,8,2,60,0.4950977560074241,0.44433759399346057,0.1974358974358974,0.4747331142425537
9,tanh,10,2,14,0.49506854225633434,0.44433759399346057,0.1974358974358974,0.11941862106323242
10,tanh,2,3,36,0.49282518678324283,0.44433759399346057,0.1974358974358974,0.11426067352294922
11,tanh,4,3,30,0.49522499808476594,0.44433759399346057,0.1974358974358974,0.13961291313171387
13,tanh,8,3,23,0.49472760064829574,0.44433759399346057,0.1974358974358974,0.17594552040100098
14,tanh,10,3,18,0.4950688009943396,0.44433759399346057,0.1974358974358974,0.16205906867980957
15,tanh,2,4,34,0.49523206417599325,0.44433759399346057,0.1974358974358974,0.11014509201049805
17,tanh,6,4,49,0.4950796387711231,0.44433759399346057,0.1974358974358974,0.3071861267089844
18,tanh,8,4,20,0.4950312963477894,0.44433759399346057,0.1974358974358974,0.15878772735595703
19,tanh,10,4,98,0.4819612655069356,0.44433759399346057,0.1974358974358974,0.9192466735839844
21,tanh,4,5,21,0.49497275481952585,0.44433759399346057,0.1974358974358974,0.10418391227722168
23,tanh,8,5,27,0.4950808044392721,0.44433759399346057,0.1974358974358974,0.22439336776733398
26,tanh,4,6,59,0.49303938002304876,0.44433759399346057,0.1974358974358974,0.3047761917114258
28,tanh,8,6,21,0.49505007523534955,0.44433759399346057,0.1974358974358974,0.1846003532409668
29,tanh,10,6,17,0.49507161228461305,0.44433759399346057,0.1974358974358974,0.1804816722869873
35,tanh,2,8,24,0.4943383244073479,0.44433759399346057,0.1974358974358974,0.08831238746643066
39,tanh,10,8,20,0.4950674857405892,0.44433759399346057,0.1974358974358974,0.22500944137573242
51,identity,4,1,35,0.49354637333071416,0.44433759399346057,0.1974358974358974,0.14578747749328613
52,identity,6,1,31,0.49441128988422445,0.44433759399346057,0.1974358974358974,0.16124272346496582
53,identity,8,1,44,0.494464556159395,0.44433759399346057,0.1974358974358974,0.2811274528503418
54,identity,10,1,58,0.49493740110388057,0.44433759399346057,0.1974358974358974,0.442568302154541
57,identity,6,2,214,0.49401486216040064,0.44433759399346057,0.1974358974358974,1.1587302684783936
